name,weight
Gridpad 10S,1.5
Gridpad 12,3
Gridpad 13,3.6
Gridpad 15,3.6
Talkpad 8,1
Talkpad 10,1.25
Touchpad,1
Novachat 8,0.95
Novachat 10,1.2
Novachat 12,1.4
Accent 800,1.15
Accent 1000,1.5
Accent 1400,2.7
TD i110,1.15
Eyemobile Plus,1.5
TD i13,2.4
TD i16,2.7
TD Pilot,2
Allora 3,1.1
Tellus 5,2.75
Tellus 6/i6,2.5
Vibe 10,1.15
Vibe 12+,1.6
Speech Case Mini,1
Speech Case 10.2,1.1
Via Mini,0.65
Via Air,1.25
EyeOn (Windows),3.5
