name,weight_capacity
(RE)M3D Quickshift,3
(RE)M3D Quickshift Sturdy,3
(RE)M3D Plus HD,6
(RE)H3D Short,1.8
(RE)H3D Long,1.8
(RE)L3D Quickshift,1.2
(DA)Locking Bent Pole Mount,8
(DA)Locking Rigid Mount,8
(DA)Locking Side Folding Mount,8
(DA)M-Series Bent Pole,4
(DA)M-Series Rigid,4
(DA)M-Series Side Folding Mount,4
